Course number,Course title,Units,Type,Section,Session,Time,Days,Seats,Registered,Instructor,Term,Department,Year,Semester,AY,matched_name
PPDE-635,Housing and Land Use in Rapidly Urbanizing Regions,4.0,Lecture,50903R,1.0,9:00-12:20pm,Wednesday,30.0,23.0,Annette Kim,20191,Urban Planning and Spatial Management,2019,SP,AY19,Annette M. Kim
PPDE-644,Land Use and Transportation Planning,4.0,Lecture,50904R,1.0,2:00-5:20pm,Monday,20.0,10.0,Genevieve Giuliano,20191,Urban Planning and Spatial Management,2019,SP,AY19,Genevieve Giuliano
PPDE-660,Environmental Policy Design and Analysis,2.0,Lecture,50906R,1.0,12:00-1:50pm,Tuesday,32.0,13.0,Adam Rose,20191,Public Policy and Management,2019,SP,AY19,Adam Rose
PPDE-683,Social Finance and Development,4.0,Lecture,50914R,1.0,2:00-5:20pm,Thursday,25.0,9.0,Rym Kaki,20191,Public Policy and Management,2019,SP,AY19,Rym Kaki
PLUS-650,Public Policy and Globalization,4.0,Lecture,51556D,1.0,TBA,Monday,18.0,14.0,Pamela McCann,20191,Public Policy and Management,2019,SP,AY19,Pamela McCann
PLUS-663,Designing Livable Environments I,1.0,Lecture,51535D,545.0,TBA,,26.0,21.0,Elizabeth Falletta,20191,Urban Planning and Spatial Management,2019,SP,AY19,Liz Falletta
RED-362,Real Estate Development Fundamentals,4.0,Lecture,51650R,1.0,10:00-11:50am,"Mon, Wed",57.0,57.0,Marylynne Boorn,20191,Real Estate Development,2019,SP,AY19,Mary Lynne Boorn
RED-362,Real Estate Development Fundamentals,4.0,Lecture,51651R,1.0,10:00-11:50am,"Tue, Thu",55.0,49.0,Marylynne Boorn,20191,Real Estate Development,2019,SP,AY19,Mary Lynne Boorn
RED-375,Real Estate Development Analysis,4.0,Lecture,51652R,1.0,10:00-11:50am,"Mon, Wed",32.0,31.0,John Loper,20191,Real Estate Development,2019,SP,AY19,John Loper
RED-375,Real Estate Development Analysis,4.0,Lecture,51663R,1.0,2:00-3:50pm,"Mon, Wed",32.0,23.0,John Loper,20191,Real Estate Development,2019,SP,AY19,John Loper
RED-425,Designing Livable Communities,4.0,Lecture,51654R,1.0,12:00-3:50pm,Tuesday,28.0,25.0,Elizabeth Falletta,20191,Urban Planning and Spatial Management,2019,SP,AY19,Liz Falletta
RED-425,Designing Livable Communities,4.0,Lecture,51655R,1.0,12:00-3:50pm,Thursday,28.0,26.0,Elizabeth Falletta,20191,Urban Planning and Spatial Management,2019,SP,AY19,Liz Falletta
RED-435,Analyzing Real Estate Markets,4.0,Lecture,51664R,1.0,6:00-9:20pm,Monday,35.0,35.0,William Fishel Matthew Stewart,20191,Public Policy and Management,2019,SP,AY19,William Leach
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,51658R,1.0,6:00-9:20pm,Monday,60.0,55.0,Christian Redfearn,20191,Real Estate Development,2019,SP,AY19,Christian L. Redfearn
RED-490,Directed Research,"1.0-8.0 units, max 12",Lecture,51669D,1.0,TBA,,10.0,1.0,Richard Green John Loper,20191,Real Estate Development,2019,SP,AY19,John Loper
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lecture,51601D,38.0,6:00-8:50pm,Tuesday,20.0,8.0,Christian Redfearn John Menne,20191,Real Estate Development,2019,SP,AY19,Christian L. Redfearn
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lecture,51620D,38.0,2:00-4:50pm,Thursday,30.0,22.0,Christian Redfearn John Menne,20191,Real Estate Development,2019,SP,AY19,Christian L. Redfearn
RED-575L,Community Design and Site Planning,"2.0-4.0 units, max 8",Lecture,51607D,38.0,2:00-5:50pm,Monday,30.0,21.0,Carl Meyer Steven Kellenberg Kenneth R Long Shawn Godkin,20191,ROTC,2019,SP,AY19,Lt. Col Mark R. Burley
RED-575L,Community Design and Site Planning,"2.0-4.0 units, max 8",Lecture,51608D,38.0,6:00-9:50pm,Monday,20.0,7.0,Carl Meyer Steven Kellenberg Kenneth R Long Shawn Godkin,20191,ROTC,2019,SP,AY19,Lt. Col Mark R. Burley
RED-575L,Community Design and Site Planning,"2.0-4.0 units, max 8",Lecture,51609D,38.0,2:00-5:50pm,Monday,20.0,2.0,Carl Meyer Steven Kellenberg Kenneth R Long Shawn Godkin,20191,ROTC,2019,SP,AY19,Lt. Col Mark R. Burley
HMGT-520,Leading People and Health Care Organizations,4.0,Lecture,51710D,820.0,TBA,,30.0,24.0,Lisa Ozaeta,20191,Health Policy and Management,2019,SP,AY19,Lisa Ozaeta
HMGT-565,Managing the Organization&apos;s Financial Health,4.0,Lecture,51720D,820.0,TBA,,24.0,19.0,Lisa Ozaeta,20191,Health Policy and Management,2019,SP,AY19,Lisa Ozaeta
HMGT-565,Managing the Organization&apos;s Financial Health,4.0,Lecture,51722D,820.0,TBA,,24.0,18.0,Lisa Ozaeta,20191,Health Policy and Management,2019,SP,AY19,Lisa Ozaeta
HMGT-575,Managing and Improving Health,4.0,Lecture,51725D,820.0,TBA,,23.0,18.0,Michael Harris,20191,Health Policy and Management,2019,SP,AY19,Michael E. Harris
HMGT-575,Managing and Improving Health,4.0,Lecture,51726D,820.0,TBA,,30.0,18.0,Glenn Melnick,20191,Health Policy and Management,2019,SP,AY19,Glenn Melnick
HMGT-575,Managing and Improving Health,4.0,Lecture,51727D,820.0,TBA,,24.0,20.0,Glenn Melnick,20191,Health Policy and Management,2019,SP,AY19,Glenn Melnick
HMGT-600,Managing Risk,2.0,Lecture,51716D,820.0,TBA,,24.0,20.0,Michael Harris,20191,Health Policy and Management,2019,SP,AY19,Michael E. Harris
HMGT-600,Managing Risk,2.0,Lecture,51728D,820.0,TBA,,20.0,17.0,Michael Harris,20191,Health Policy and Management,2019,SP,AY19,Michael E. Harris
PPD-240g,Citizenship and Public Ethics,4.0,Lecture,51140D,1.0,12:00-1:50pm,"Tue, Thu",50.0,48.0,William Resh Heejin Cho,20183,Public Policy and Management,2018,F,AY19,William Leach
PPD-300,Social Justice Issues in Public Policy and Urban Planning .,4.0,Lecture,51119R,1.0,4:00-5:50pm,"Tue, Thu",40.0,40.0,Lavonna Lewis,20183,Health Policy and Management,2018,F,AY19,LaVonna B. Lewis
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51102R,1.0,2:00-3:50pm,"Mon, Wed",28.0,28.0,John Romley,20183,Health Policy and Management,2018,F,AY19,John A. Romley
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51104R,1.0,6:00-9:20pm,Monday,28.0,28.0,Detlof Von Winterfeldt,20183,Public Policy and Management,2018,F,AY19,Detlof von Winterfeldt
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51112R,1.0,10:00-11:50am,"Mon, Wed",28.0,28.0,Emma Aguila Vega,20183,Health Policy and Management,2018,F,AY19,Emma Aguila
PPD-313,Finance of the Public Sector,4.0,Lecture,51113R,1.0,12:00-1:50pm,"Tue, Thu",32.0,25.0,Mark Phillips,20183,Public Policy and Management,2018,F,AY19,Mark Phillips
PPD-315,Analytic Foundations for Public Policy,4.0,Lecture,51106R,1.0,10:00-11:50am,"Tue, Thu",32.0,24.0,Pamela McCann,20183,Public Policy and Management,2018,F,AY19,Pamela McCann
PPD-325,Fundamentals of Health Policy and Management,4.0,Lecture,51108R,1.0,12:00-1:50pm,"Mon, Wed",32.0,25.0,Neeraj Sood,20183,Health Policy and Management,2018,F,AY19,Neeraj Sood
PPD-353,Philanthropy and Social Change,4.0,Lecture,51152R,1.0,6:00-9:20pm,Tuesday,24.0,16.0,Nicole Esparza,20183,Public Policy and Management,2018,F,AY19,Nicole E. Esparza
PPD-357,Government and Business,4.0,Lecture,51139R,1.0,8:00-9:50am,"Tue, Thu",32.0,18.0,Elizabeth Graddy,20183,Public Policy and Management,2018,F,AY19,Elizabeth Graddy
PPD-358,Urban and Regional Economics,4.0,Lecture,51124R,1.0,2:00-3:50pm,"Tue, Thu",32.0,22.0,Eric Heikkila,20183,Urban Planning and Spatial Management,2018,F,AY19,Eric Heikkila
PPD-361,"Sustainable Communities, Policy and Planning",4.0,Lecture,51148R,1.0,2:00-3:50pm,"Tue, Thu",32.0,22.0,Antonio Bento,20183,Public Policy and Management,2018,F,AY19,Antonio M. Bento
PPD-413,Administration of Health Care Organizations,4.0,Lecture,51147R,1.0,10:00-11:50am,"Mon, Wed",32.0,17.0,Philip Dalton,20183,Health Policy and Management,2018,F,AY19,Phil Dalton
PPD-415,Health Policy,4.0,Lecture,51149R,1.0,8:00-9:50am,"Mon, Wed",32.0,10.0,Jason Doctor,20183,Health Policy and Management,2018,F,AY19,Jason Doctor
PPD-478,Social Innovation,4.0,Lecture,51125R,1.0,2:00-3:50pm,"Tue, Thu",32.0,27.0,Nicolas Duquette,20183,Public Policy and Management,2018,F,AY19,Nicolas Duquette
PPD-500,Intersectoral Leadership,2.0,Lecture,51201R,1.0,6:00-7:50pm,Thursday,24.0,16.0,Frank Zerunyan,20183,Public Policy and Management,2018,F,AY19,Frank V. Zerunyan
PPD-500,Intersectoral Leadership,2.0,Lecture,51202R,1.0,10:00-11:50am,Wednesday,24.0,19.0,Frank Zerunyan,20183,Public Policy and Management,2018,F,AY19,Frank V. Zerunyan
PPD-500,Intersectoral Leadership,2.0,Lecture,51460D,593.0,TBA,,50.0,23.0,William Leach,20183,Public Policy and Management,2018,F,AY19,William Leach
PPD-501a,"Economics for Policy, Planning and Development",2.0,Lecture,51304D,596.0,6:00-9:20pm,Monday,95.0,86.0,Adam Rose,20183,Public Policy and Management,2018,F,AY19,Adam Rose
PPD-501a,"Economics for Policy, Planning and Development",2.0,Lecture,51470D,593.0,TBA,,50.0,24.0,John Calanni Brandon De Bruhl,20183,Real Estate Development,2018,F,AY19,Jorge De la Roca
PPD-501b,"Economics for Policy, Planning and Development",2.0,Lecture,51471D,593.0,TBA,,50.0,24.0,John Calanni Brandon De Bruhl,20183,Real Estate Development,2018,F,AY19,Jorge De la Roca
PPD-502x,Statistical Foundations for Public Management and Policy,2.0,Lecture,51285R,1.0,2:00-3:50pm,Monday,32.0,28.0,Mark Phillips,20183,Public Policy and Management,2018,F,AY19,Mark Phillips
PPD-503,Economics for Public Policy,4.0,Lecture,51216R,1.0,2:00-5:20pm,Wednesday,97.0,90.0,Mark Phillips,20183,Public Policy and Management,2018,F,AY19,Mark Phillips
PPD-503,Economics for Public Policy,4.0,Lecture,51217R,1.0,6:00-9:20pm,Tuesday,95.0,72.0,Antonio Bento,20183,Public Policy and Management,2018,F,AY19,Antonio M. Bento
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51206D,1.0,6:00-9:20pm,Wednesday,29.0,27.0,Howard Greenwald,20183,Health Policy and Management,2018,F,AY19,Howard Greenwald
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51275D,1.0,2:00-5:20pm,Wednesday,29.0,28.0,Philip Dalton,20183,Health Policy and Management,2018,F,AY19,Phil Dalton
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51282D,61.0,TBA,,27.0,17.0,Lavonna Lewis,20183,Health Policy and Management,2018,F,AY19,LaVonna B. Lewis
PPD-524,Planning Theory,2.0,Lecture,51332R,596.0,4:00-5:50pm,"Tue, Thu",60.0,45.0,Dowell Myers,20183,Urban Planning and Spatial Management,2018,F,AY19,Dowell Myers
PPD-533,Planning History and Urban Form,2.0,Lecture,51331R,595.0,4:00-5:50pm,"Tue, Thu",60.0,48.0,David Sloane,20183,Urban Planning and Spatial Management,2018,F,AY19,David Sloane
PPD-540,Public Administration and Society,4.0,Lecture,51219R,1.0,6:00-9:20pm,Monday,31.0,31.0,Yan Tang,20183,Public Policy and Management,2018,F,AY19,Shui Yan Tang
PPD-540,Public Administration and Society,4.0,Lecture,51400D,530.0,TBA,,28.0,26.0,William Resh,20183,Public Policy and Management,2018,F,AY19,William G. Resh
PPD-540,Public Administration and Society,4.0,Lecture,51462D,593.0,TBA,,50.0,31.0,Tara Blanc Matthew Wheeler,20183,Public Policy and Management,2018,F,AY19,Tara Blanc
PPD-542,Policy and Program Evaluation,4.0,Lecture,51222R,1.0,6:00-9:20pm,Tuesday,32.0,18.0,Howard Greenwald,20183,Health Policy and Management,2018,F,AY19,Howard Greenwald
PPD-542,Policy and Program Evaluation,4.0,Lecture,51236R,1.0,6:00-9:20pm,Monday,32.0,31.0,Nicole Esparza,20183,Public Policy and Management,2018,F,AY19,Nicole E. Esparza
PPD-542,Policy and Program Evaluation,4.0,Lecture,51463D,593.0,TBA,,50.0,23.0,William Leach,20183,Public Policy and Management,2018,F,AY19,William Leach
PPD-545,Human Behavior in Public Organizations,4.0,Lecture,51225R,61.0,TBA,,25.0,21.0,William Resh,20183,Public Policy and Management,2018,F,AY19,William G. Resh
PPD-545,Human Behavior in Public Organizations,4.0,Lecture,51226R,1.0,2:00-5:20pm,Wednesday,32.0,32.0,Deborah Natoli,20183,Public Policy and Management,2018,F,AY19,Deborah J. Natoli
PPD-545,Human Behavior in Public Organizations,4.0,Lecture,51238R,1.0,6:00-9:20pm,Wednesday,31.0,31.0,Peter Robertson,20183,Public Policy and Management,2018,F,AY19,Peter J. Robertson
PPD-545,Human Behavior in Public Organizations,4.0,Lecture,51240R,1.0,2:00-5:20pm,Thursday,28.0,24.0,Howard Greenwald,20183,Health Policy and Management,2018,F,AY19,Howard Greenwald
PPD-545,Human Behavior in Public Organizations,4.0,Lecture,51249R,1.0,6:00-9:20pm,Tuesday,29.0,29.0,Deborah Natoli,20183,Public Policy and Management,2018,F,AY19,Deborah J. Natoli
PPD-545,Human Behavior in Public Organizations,4.0,Lecture,51473D,593.0,TBA,,50.0,29.0,Kelly Rawlings Dian Johnson Harrison,20183,Public Policy and Management,2018,F,AY19,Kelly Rawlings
PPD-554,Foundations of Policy Analysis,4.0,Lecture,51404D,530.0,TBA,,28.0,10.0,Juliet Musso,20183,Public Policy and Management,2018,F,AY19,Juliet Ann Musso
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,51221D,1.0,2:00-5:20pm,Wednesday,37.0,36.0,Emma Aguila Vega,20183,Health Policy and Management,2018,F,AY19,Emma Aguila
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,51224D,1.0,6:00-9:20pm,Wednesday,37.0,37.0,Tj McCarthy,20183,Public Policy and Management,2018,F,AY19,T.J. McCarthy
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,51247D,1.0,2:00-5:20pm,Monday,37.0,36.0,Julie Zissimopoulos,20183,Health Policy and Management,2018,F,AY19,Julie M. Zissimopoulos
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,51273D,1.0,6:00-9:20pm,Wednesday,37.0,34.0,John Romley,20183,Health Policy and Management,2018,F,AY19,John A. Romley
PPD-571,International Public Policy and Management Seminar,4.0,Lecture,51355D,785.0,9:00-12:20pm,Wednesday,45.0,39.0,Rym Kaki,20183,Public Policy and Management,2018,F,AY19,Rym Kaki
PPD-599,Preparing for Internal and External Consulting Roles in Healthcare Organizations,2.0,Lecture,51298R,1.0,6:30-8:20pm,Thursday,25.0,11.0,Philip Dalton,20183,Health Policy and Management,2018,F,AY19,Phil Dalton
PPD-617,Urban Demography and Growth,4.0,Lecture,51233R,1.0,6:00-9:20pm,Monday,60.0,24.0,Dowell Myers,20183,Urban Planning and Spatial Management,2018,F,AY19,Dowell Myers
PPD-621,Environmental Impacts,4.0,Lecture,51280R,1.0,2:00-5:20pm,Thursday,20.0,17.0,Geraldine Knatz,20183,Urban Planning and Spatial Management,2018,F,AY19,Geraldine Knatz
PPD-634,Institutional and Policy Issues in Transportation,4.0,Lecture,51239R,1.0,2:00-5:20pm,Monday,30.0,25.0,Genevieve Giuliano,20183,Urban Planning and Spatial Management,2018,F,AY19,Genevieve Giuliano
PPD-639,Introduction to Community and Economic Development,4.0,Lecture,51234R,1.0,9:00-12:20pm,Monday,32.0,19.0,Elizabeth Halkett,20183,Urban Planning and Spatial Management,2018,F,AY19,Elizabeth Currid-Halkett
PPD-675,Nonprofit Management and Leadership,4.0,Lecture,51256R,1.0,6:00-9:20pm,Thursday,25.0,25.0,Nicolas Duquette,20183,Public Policy and Management,2018,F,AY19,Nicolas Duquette
PPD-680,Development of Effective Groups and Organizations,4.0,Lecture,51354D,785.0,2:00-5:20pm,Wednesday,20.0,19.0,Susan Sinclair Grace Cheng,20183,Public Policy and Management,2018,F,AY19,Grace Bahng
PPD-683,Homeland Security and Public Policy,4.0,Lecture,51265R,1.0,6:00-9:20pm,Monday,35.0,28.0,Erroll Southers,20183,Public Policy and Management,2018,F,AY19,Erroll G. Southers
PPD-683,Homeland Security and Public Policy,4.0,Lecture,51397R,597.0,6:00-9:20pm,Monday,20.0,11.0,Erroll Southers,20183,Public Policy and Management,2018,F,AY19,Erroll G. Southers
PPD-684,Leadership Development in the Public and Nonprofit Sectors,2.0,Lecture,51264R,61.0,TBA,,20.0,5.0,Ann Reyes,20183,Public Policy and Management,2018,F,AY19,Juliet Ann Musso
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,51248R,61.0,TBA,,20.0,15.0,Jim Ferris,20183,Public Policy and Management,2018,F,AY19,James M. Ferris
PPD-689,The Nonprofit Sector and Philanthropy,4.0,Lecture,51469D,593.0,TBA,,30.0,22.0,Kelly Rawlings,20183,Public Policy and Management,2018,F,AY19,Kelly Rawlings
PPD-710a,Research Seminar,2.0,Lecture,51210D,1.0,10:00-12:00pm,Monday,13.0,13.0,Marlon Boarnet,20183,Urban Planning and Spatial Management,2018,F,AY19,Marlon Boarnet
PPD-713,Advanced Planning Theory,4.0,Lecture,51251D,1.0,2:00-5:20pm,Wednesday,13.0,13.0,Lisa Schweitzer,20183,Urban Planning and Spatial Management,2018,F,AY19,Lisa Schweitzer
PPD-715,Political Economy and Institutional Analysis,4.0,Lecture,51254D,1.0,2:00-5:20pm,Thursday,12.0,9.0,Jeffery Jenkins,20183,Public Policy and Management,2018,F,AY19,Jeffery A. Jenkins
PPD-794a,Doctoral Dissertation,2.0,Lecture,51257D,1.0,TBA,,20.0,5.0,Julie Zissimopoulos,20183,Health Policy and Management,2018,F,AY19,Julie M. Zissimopoulos
PPD-794b,Doctoral Dissertation,2.0,Lecture,51258D,1.0,TBA,,20.0,1.0,Julie Zissimopoulos,20183,Health Policy and Management,2018,F,AY19,Julie M. Zissimopoulos
PPD-794c,Doctoral Dissertation,2.0,Lecture,51259D,1.0,TBA,,30.0,10.0,Julie Zissimopoulos,20183,Health Policy and Management,2018,F,AY19,Julie M. Zissimopoulos
PPD-794d,Doctoral Dissertation,2.0,Lecture,51260D,1.0,TBA,,20.0,1.0,Julie Zissimopoulos,20183,Health Policy and Management,2018,F,AY19,Julie M. Zissimopoulos
PPD-794z,Doctoral Dissertation,0.0,Lecture,51261D,1.0,TBA,,20.0,5.0,Julie Zissimopoulos,20183,Health Policy and Management,2018,F,AY19,Julie M. Zissimopoulos
PPDE-636,Urban Spatial Ethnography and Critical Cartography,4.0,Lecture,50907R,1.0,9:00-12:20pm,Tuesday,20.0,18.0,Annette Kim,20183,Urban Planning and Spatial Management,2018,F,AY19,Annette M. Kim
PPDE-637,Urban Mass Transit,4.0,Lecture,50906R,1.0,9:00-12:20pm,Wednesday,32.0,31.0,Lisa Schweitzer,20183,Urban Planning and Spatial Management,2018,F,AY19,Lisa Schweitzer
PPDE-649,"International Development NGOs: Theory, Policy and Manageme",4.0,Lecture,50904R,1.0,6:00-9:20pm,Monday,32.0,13.0,Rym Kaki,20183,Public Policy and Management,2018,F,AY19,Rym Kaki
PPDE-662,China from a US Policy Perspective,4.0,Lecture,50911R,1.0,9:00-12:20pm,Tuesday,32.0,14.0,Eric Heikkila,20183,Urban Planning and Spatial Management,2018,F,AY19,Eric Heikkila
PPDE-668,Applied Econometrics for Program Evaluation,4.0,Lecture,50912R,1.0,6:00-9:20pm,Tuesday,32.0,27.0,Tj McCarthy,20183,Public Policy and Management,2018,F,AY19,T.J. McCarthy
PLUS-653,Leading Change and Innovation in Urban Communities,4.0,Lecture,51558D,1.0,TBA,,17.0,16.0,Peter Robertson,20183,Public Policy and Management,2018,F,AY19,Peter J. Robertson
RED-362,Real Estate Development Fundamentals,4.0,Lecture,51650R,1.0,10:00-11:50am,"Mon, Wed",45.0,43.0,Marylynne Boorn,20183,Real Estate Development,2018,F,AY19,Mary Lynne Boorn
RED-362,Real Estate Development Fundamentals,4.0,Lecture,51651R,1.0,10:00-11:50am,"Tue, Thu",43.0,39.0,Jorge De La Roca,20183,Real Estate Development,2018,F,AY19,Jorge De la Roca
RED-375,Real Estate Development Analysis,4.0,Lecture,51644R,1.0,12:00-1:50pm,"Mon, Wed",30.0,30.0,John Loper,20183,Real Estate Development,2018,F,AY19,John Loper
RED-375,Real Estate Development Analysis,4.0,Lecture,51652R,1.0,4:00-5:50pm,"Mon, Wed",30.0,23.0,John Loper,20183,Real Estate Development,2018,F,AY19,John Loper
RED-375,Real Estate Development Analysis,4.0,Lecture,51653R,1.0,12:00-1:50pm,"Tue, Thu",32.0,32.0,John Loper,20183,Real Estate Development,2018,F,AY19,John Loper
RED-417,History of Planning and Development,4.0,Lecture,51655R,1.0,12:00-1:50pm,"Mon, Wed",80.0,73.0,David Sloane,20183,Urban Planning and Spatial Management,2018,F,AY19,David Sloane
RED-425,Designing Livable Communities,4.0,Lecture,51656R,1.0,6:00-9:50pm,Monday,25.0,22.0,Elizabeth Falletta,20183,Urban Planning and Spatial Management,2018,F,AY19,Liz Falletta
RED-425,Designing Livable Communities,4.0,Lecture,51657R,1.0,6:00-9:50pm,Wednesday,25.0,23.0,Elizabeth Falletta,20183,Urban Planning and Spatial Management,2018,F,AY19,Liz Falletta
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,51660R,1.0,6:00-9:20pm,Monday,25.0,24.0,John Loper,20183,Real Estate Development,2018,F,AY19,John Loper
RED-509,Market Analysis for Real Estate,4.0,Lecture,51601D,38.0,6:00-9:30pm,Monday,40.0,34.0,Marylynne Boorn,20183,Real Estate Development,2018,F,AY19,Mary Lynne Boorn
HMGT-565,Managing the Organization&apos;s Financial Health,4.0,Lecture,51720D,820.0,TBA,,25.0,19.0,Lisa Ozaeta,20183,Health Policy and Management,2018,F,AY19,Lisa Ozaeta
HMGT-575,Managing and Improving Health,4.0,Lecture,51724D,820.0,TBA,,32.0,26.0,Michael Harris,20183,Health Policy and Management,2018,F,AY19,Michael E. Harris
HMGT-575,Managing and Improving Health,4.0,Lecture,51725D,820.0,TBA,,25.0,15.0,Glenn Melnick,20183,Health Policy and Management,2018,F,AY19,Glenn Melnick
HMGT-601,Operations Management for Accountability,4.0,Lecture,51721D,820.0,TBA,,25.0,16.0,Michael Harris,20183,Health Policy and Management,2018,F,AY19,Michael E. Harris
PPD-500,Intersectoral Leadership,2.0,Lecture,51470D,538.0,TBA,,50.0,25.0,William Leach,20182,Public Policy and Management,2018,SU,AY19,William Leach
PPD-501a,"Economics for Policy, Planning and Development",2.0,Lecture,51200R,50.0,5:30-9:40pm,Wednesday,30.0,26.0,Tj McCarthy,20182,Public Policy and Management,2018,SU,AY19,T.J. McCarthy
PPD-501b,"Economics for Policy, Planning and Development",2.0,Lecture,51201R,51.0,5:30-9:40pm,Wednesday,32.0,18.0,Tj McCarthy,20182,Public Policy and Management,2018,SU,AY19,T.J. McCarthy
PPD-517,Concepts and Practices in Managing Health Care Organizations,2.0,Lecture,51317D,541.0,TBA,,39.0,28.0,Philip Dalton,20182,Health Policy and Management,2018,SU,AY19,Phil Dalton
PPD-517,Concepts and Practices in Managing Health Care Organizations,2.0,Lecture,51319D,541.0,TBA,,42.0,41.0,Philip Dalton,20182,Health Policy and Management,2018,SU,AY19,Phil Dalton
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,51397D,597.0,TBA,,20.0,19.0,Juliet Musso Stephen Shea,20182,Public Policy and Management,2018,SU,AY19,Juliet Ann Musso
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,51463D,538.0,TBA,,60.0,27.0,Juliet Musso Gentian Droboniku,20182,Public Policy and Management,2018,SU,AY19,Juliet Ann Musso
PPD-542,Policy and Program Evaluation,4.0,Lecture,51401D,511.0,TBA,,28.0,17.0,Lois Takahashi,20182,Public Policy and Management,2018,SU,AY19,Lois M. Takahashi
PPD-546,Capstone in Public Administration,4.0,Lecture,51309D,541.0,TBA,,25.0,7.0,Peter Robertson,20182,Public Policy and Management,2018,SU,AY19,Peter J. Robertson
PPD-560,Methods for Policy Analysis,4.0,Lecture,51466D,538.0,TBA,,25.0,3.0,Mark Phillips,20182,Public Policy and Management,2018,SU,AY19,Mark Phillips
PPD-569,Applied International Policy Analysis and Management Project,4.0,Lecture,51351D,785.0,10:00-2:20pm,Tuesday,10.0,9.0,Rym Kaki Joyce Mann,20182,Public Policy and Management,2018,SU,AY19,Rym Kaki
PPD-599,Social and Nonprofit Marketing,4.0,Lecture,51323R,541.0,TBA,,25.0,14.0,Howard Greenwald,20182,Health Policy and Management,2018,SU,AY19,Howard Greenwald
PPD-613b,"Policy, Planning, and Development International Laboratory","3.0 units, max 6",Lecture,51332R,542.0,TBA,,31.0,26.0,Marlon Boarnet,20182,Urban Planning and Spatial Management,2018,SU,AY19,Marlon Boarnet
PPD-628,Urban Planning and Social Policy,4.0,Lecture,51467D,538.0,TBA,,25.0,20.0,William Leach,20182,Public Policy and Management,2018,SU,AY19,William Leach
PPD-647,Finance of the Public Sector,4.0,Lecture,51308R,541.0,TBA,,20.0,14.0,Michael Thom,20182,Public Policy and Management,2018,SU,AY19,Michael Thom
PPD-673,Strategic Planning in the Public Sector,4.0,Lecture,51465D,538.0,TBA,,50.0,14.0,Tara Blanc,20182,Public Policy and Management,2018,SU,AY19,Tara Blanc
PPD-684,Leadership Development in the Public and Nonprofit Sectors,2.0,Lecture,51313R,541.0,TBA,,25.0,17.0,Ann Reyes,20182,Public Policy and Management,2018,SU,AY19,Juliet Ann Musso
PPD-685,Human Resources Management in Public and Non-Profit Sectors,2.0,Lecture,51468D,538.0,TBA,,50.0,25.0,Tara Blanc,20182,Public Policy and Management,2018,SU,AY19,Tara Blanc
PPDE-589,"Public Policy and Administration in the European Union, Germ",6.0,Lecture,51051D,523.0,TBA,,15.0,15.0,William Resh,20182,Public Policy and Management,2018,SU,AY19,William G. Resh
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,51650R,55.0,6:00-9:20pm,"Mon, Wed",25.0,20.0,John Loper,20182,Real Estate Development,2018,SU,AY19,John Loper
RED-542,Finance of Real Estate Development,3.0,Lecture,51602D,531.0,2:00-3:50pm,"Mon, Wed",30.0,18.0,John Loper,20182,Real Estate Development,2018,SU,AY19,John Loper
RED-551,The Approval Process,4.0,Lecture,51606D,531.0,6:00-8:50pm,"Tue, Thu",30.0,15.0,Allan Kotin Nicole Kuklok-Waldman,20182,Public Policy and Management,2018,SU,AY19,Nicole E. Esparza
RED-573,Design History and Criticism,2.0,Lecture,51607D,531.0,2:00-4:50pm,Tuesday,19.0,18.0,Elizabeth Falletta,20182,Urban Planning and Spatial Management,2018,SU,AY19,Liz Falletta
RED-573,Design History and Criticism,2.0,Lecture,51609D,531.0,6:00-8:50pm,Monday,15.0,10.0,Elizabeth Falletta,20182,Urban Planning and Spatial Management,2018,SU,AY19,Liz Falletta
RED-585,Comparative International Development Workshop,2.0-4.0 units,Lecture,51614D,548.0,TBA,,20.0,20.0,Richard Green,20182,Real Estate Development,2018,SU,AY19,Richard K. Green
HMGT-540,"Health Economics, Financing and Reimbursement",2.0,Lecture,51711D,820.0,TBA,,25.0,18.0,Paul Ginsburg,20182,Health Policy and Management,2018,SU,AY19,Paul B. Ginsburg
